,tags,ipa,word,region
5,,,lag,
0,Ulster,/ˈʃɛçə/,seiche,Ulster
1,Ulster,[ˈʃɛi̯çə],seiche,Ulster
0,Munster,/fʲiːlʲ/,fill,Munster
1,Galway,/fʲiːl̠ʲ/,fill,Connacht
2,Mayo; Ulster,/fʲɪl̠ʲ/,fill,Connacht; Ulster
3,,,fill,
0,Munster,/ɡɔbˠ/,gob,Munster
1,Munster,/ɡɞbˠ/,gob,Munster
2,Connacht,/ɡɔbˠ/,gob,Connacht
3,Ulster,/ɡʌbˠ/,gob,Ulster
0,,/ˈɡɔl̪ˠə/,gola,
